"label","timepoint","cage","cage.treat","cage.treat2","rep","X184.M","X188.M","X192.M","X208.M","X212.M","X216.M","X232.M","X236.M","X240.M","X256.M","X260.M","X264.M","X280.M","X284.M","X288.M","X304.M","X308.M","X312.M","X328.M","X332.M","X336.M","X352.M","X356.M","X360.M","X376.M","X380.M","X384.M","X400.M","X404.M","X408.M","M.Total.Count","M.count.x.time","M.AVG.LD"
"T5-7-3",5,"7","MA","LB",3,0,0,0,1,0,0,3,3,2,2,3,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,"5372","255.8095238"
"T5-8-1",5,"8","MA","AT",1,0,0,0,0,0,0,4,4,5,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,"4904","245.2"
"T5-8-2",5,"8","MA","AT",2,0,0,0,0,0,0,5,2,4,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,"4720","248.4210526"
"T5-8-3",5,"8","MA","AT",3,0,0,0,0,0,0,4,5,4,7,3,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,"7632","254.4"
"T5-9-1",5,"9","MA","LB",1,0,0,0,0,0,0,0,1,0,4,3,0,3,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,"4940","290.5882353"
"T5-9-2",5,"9","MA","LB",2,0,0,0,0,0,0,1,0,1,8,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,"4676","259.7777778"
"T5-9-3",5,"9","MA","LB",3,0,0,0,0,0,0,1,0,0,6,4,0,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,"5432","301.7777778"
"T5-10-1",5,"10","MA","AT",1,0,0,0,0,0,0,7,1,1,6,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,"4988","249.4"
"T5-10-2",5,"10","MA","AT",2,0,0,0,0,0,0,1,0,5,5,5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,"4880","256.8421053"
"T5-10-3",5,"10","MA","AT",3,0,0,0,0,0,0,8,3,3,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,"5368","244"
"T5-11-1",5,"11","MA","LB",1,0,0,0,0,0,0,2,4,0,6,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,"5976","259.826087"
"T5-11-2",5,"11","MA","LB",2,0,0,0,0,0,0,4,2,3,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,"5264","250.6666667"
"T5-11-3",5,"11","MA","LB",3,0,0,0,0,0,0,5,2,1,9,1,0,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,"7888","262.9333333"
"T5-12-1",5,"12","MA","AT",1,0,0,0,0,0,0,5,2,4,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,"4716","248.2105263"
"T5-12-2",5,"12","MA","AT",2,0,0,0,0,0,0,1,3,1,6,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"3840","256"
"T5-12-3",5,"12","MA","AT",3,0,0,0,0,0,0,4,2,3,3,5,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,"5860","254.7826087"
