"cluster","median.target","median.matched","pval","comparison","FDR","significant","cluster.dynamics"
"c3.X.1_5",0.00309163333333334,0.00126341666666667,0.0977499282918024,"2_5",0.102762745127279,"no","neutral"
"c3.2L.1_5",0.0160760333333333,0.00292266666666666,1.46226761275269e-11,"2_5",2.36656468906027e-11,"yes","positive"
"c4.2L.1_5",0.0205480016666667,0.0053127,2.83112587699489e-26,"2_5",6.33142696127948e-26,"yes","positive"
"c5.2L.1_5",0.0207295916666667,0.00386404166666668,3.43203518176211e-71,"2_5",2.34522404087078e-70,"yes","positive"
"c4.X.1_5",0.0180399266666667,0.00114489166666667,7.28352409997849e-55,"2_5",3.19954808677627e-54,"yes","positive"
"c2.2R.1_5",0.0102381666666667,0.00159696833333333,5.33777881521837e-39,"2_5",1.68345331864579e-38,"yes","positive"
"c6.2L.1_5",0.0145572833333334,0.00476114166666666,4.39922941127581e-10,"2_5",6.93724637931955e-10,"yes","positive"
"c5.X.1_5",0.0133393416666667,0.00278715000000001,6.1554864493252e-28,"2_5",1.514249666534e-27,"yes","positive"
"c7.2L.1_5",-0.00877878333333333,0.00243578333333333,0.23883127554847,"2_5",0.246859217583713,"no","neutral"
"c3.2R.1_5",-0.00544541666666667,0.00284819166666666,0.000694075266879885,"2_5",0.000828847163361416,"yes","negative"
"c3.3R.1_5",0.00989026666666667,0.00126033333333334,2.18007469784003e-94,"2_5",2.06268606026403e-93,"yes","positive"
"c4.2R.1_5",0.0137797583333333,0.00292623333333333,4.71164975435817e-21,"2_5",9.19893523469929e-21,"yes","positive"
"c8.2L.1_5",0.0244752666666667,0.00462583333333333,6.16564321118076e-96,"2_5",6.31978429146028e-95,"yes","positive"
"c6.X.1_5",0.016912375,0.00170434166666666,9.01741835038445e-22,"2_5",1.81826632311031e-21,"yes","positive"
"c5.2R.1_5",0.0136888333333333,-0.000132083333333338,6.61877540913423e-07,"2_5",8.75386425079043e-07,"yes","positive"
"c6.2R.1_5",-0.01104,0.0030398333333333,0.00205381596780012,"2_5",0.0023176088443983,"yes","negative"
"c7.2R.1_5",-0.0128731666666667,0.000104166666666655,3.20208742892474e-06,"2_5",4.14586056587098e-06,"yes","negative"
"c8.2R.1_5",0.00133916666666661,0.0027134,0.00483642927396169,"2_5",0.00540800727906625,"no","neutral"
"c9.2L.1_5",0.0121688333333333,0.00372083333333335,1.72439481445644e-09,"2_5",2.68481724276129e-09,"yes","positive"
"c9.2R.1_5",0.00271566666666667,0.00199535833333328,0.690254844638219,"2_5",0.695912671233614,"no","neutral"
"c10.2R.1_5",0.0210353833333333,0.000448333333333328,2.28846593622084e-65,"2_5",1.48148057976402e-64,"yes","positive"
"c4.3R.1_5",0.013269575,0.000515666666666671,6.09062492430673e-24,"2_5",1.29163252705125e-23,"yes","positive"
"c10.2L.1_5",0.0107078540833333,0.00377432500000001,0.000298020057061214,"2_5",0.00035937712763264,"yes","positive"
"c11.2L.1_5",0.0358955000000001,0.00651253083333334,4.66705942173326e-26,"2_5",1.02508626584498e-25,"yes","positive"
"c12.2L.1_5",0.0260833333333333,0.00528078333333333,2.1689087993509e-35,"2_5",6.20408796093397e-35,"yes","positive"
"c11.2R.1_5",0.0225229166666667,-0.00286778333333333,2.31524669810797e-45,"2_5",9.18630141507356e-45,"yes","positive"
"c4.3L.1_5",0.0304301666666667,0.001988385,2.61372678356285e-209,"2_5",8.03720985945576e-208,"yes","positive"
"c5.3R.1_5",0.0151860083333333,0.00196294416666666,4.05521299076583e-106,"2_5",5.5421244207133e-105,"yes","positive"
"c13.2L.1_5",0.00267292500000002,0.00413925833333339,0.550213127566075,"2_5",0.563968455755227,"no","neutral"
"c12.2R.1_5",0.00574250833333333,0.00420323666666667,0.0588422892414126,"2_5",0.0623931170404634,"no","neutral"
"c14.2L.1_5",0.01049675,0.00272181666666667,5.34175380873244e-27,"2_5",1.21673281198906e-26,"yes","positive"
"c6.3R.1_5",0.0159509083333333,0.00175326666666667,3.0122252548581e-41,"2_5",1.02917696207652e-40,"yes","positive"
"c15.2L.1_5",0.01033125,0.00400414166666667,0.0351131094223294,"2_5",0.0375557605125784,"yes","positive"
"c7.3R.1_5",0.0285019,0.0017777,4.90373615081399e-65,"2_5",3.0157977327506e-64,"yes","positive"
"c8.3R.1_5",0.01645815,0.00187096666666667,2.39767291037586e-45,"2_5",9.21605524925721e-45,"yes","positive"
"c16.2L.1_5",0.0124274583333333,0.00458535833333333,9.20760223146189e-31,"2_5",2.35944807181211e-30,"yes","positive"
"c7.X.1_5",0.0126,0.00179036666666666,3.74000408449097e-27,"2_5",8.84654812293056e-27,"yes","positive"
"c9.3R.1_5",0.0300668166666667,0.00116266666666667,2.61882290289582e-61,"2_5",1.46416007752812e-60,"yes","positive"
"c5.3L.1_5",0.0150453,-0.00413364999999999,6.56474189344822e-12,"2_5",1.09116655796504e-11,"yes","positive"
"c13.2R.1_5",0.021552,0.00267150000000005,3.80111294472567e-44,"2_5",1.37510850647429e-43,"yes","positive"
"c8.X.1_5",0.0111205833333334,-0.000155099999999999,6.48488285569564e-16,"2_5",1.20854635037964e-15,"yes","positive"
"c14.2R.1_5",0.0116891,0.00366556666666667,1.21210728026726e-14,"2_5",2.19248816871872e-14,"yes","positive"
"c10.3R.1_5",0.0176358,0.0019549,4.40666616431561e-62,"2_5",2.58104732481343e-61,"yes","positive"
"c6.3L.1_5",0.0149115,-0.00201643333333333,1.12097778502942e-13,"2_5",1.96971810798027e-13,"yes","positive"
"c17.2L.1_5",0.00674016666666669,0.00279743333333334,0.0100952500681539,"2_5",0.0110867478427047,"yes","positive"
"c9.X.1_5",0.00628352166666667,-0.000487550000000003,4.0017697634198e-06,"2_5",5.12726750938162e-06,"yes","positive"
"c11.3R.1_5",0.01707905,0.001787875,1.61651922918797e-11,"2_5",2.58223201545611e-11,"yes","positive"
"c7.3L.1_5",0.0176,0.0016132,2.52156859381554e-240,"2_5",1.03384312346437e-238,"yes","positive"
"c18.2L.1_5",0.0174529,0.00430385,7.58041038496533e-78,"2_5",5.8274404834421e-77,"yes","positive"
"c15.2R.1_5",0.048901,0.00604716666666666,1.74391416536514e-32,"2_5",4.76669871866472e-32,"yes","positive"
"c12.3R.1_5",0.00802553333333333,0.00349685166666667,0.00175440764387182,"2_5",0.00199807537218735,"yes","positive"
"c19.2L.1_5",0.00790058333333333,0.00476961333333333,4.12174582458877e-08,"2_5",5.76107655027749e-08,"yes","positive"
"c20.2L.1_5",0.0126561266666667,0.00381416666666667,4.33740750575425e-56,"2_5",2.13400449283109e-55,"yes","positive"
"c16.2R.1_5",0.00192733333333331,0.00243721666666666,0.722458883510429,"2_5",0.722458883510429,"no","neutral"
"c8.3L.1_5",0.02251995,0.003553,1.11815786525096e-27,"2_5",2.69673367501702e-27,"yes","positive"
"c10.X.1_5",0.00660683333333334,-0.000829866666666665,0.0120972329042214,"2_5",0.0131677844886658,"yes","positive"
"c11.X.1_5",0.00694421666666666,0.00258244166666667,0.0166037480511526,"2_5",0.0179145702657173,"yes","positive"
"c9.3L.1_5",0.0200894,0.000760499999999942,3.4287505477074e-23,"2_5",7.14807317572899e-23,"yes","positive"
"c17.2R.1_5",0.0180257916666667,0.00541171666666665,9.64654875505727e-13,"2_5",1.64795207898895e-12,"yes","positive"
"c10.3L.1_5",0.0138529333333333,0.00259592833333333,3.47454438637489e-14,"2_5",6.19375303658133e-14,"yes","positive"
