"cage","sex","replicate","vial","X16","X20","X24","X40","X44","X48","X64","X68","X72","X88","X92","X96","X112","X116","X120","X136","X140","X144","X160","X164","X168","X184","X188","X192","cage.treat","cage.treat2","timepoint"
"A6","F",3,"T2-A6-a3F",0,0,0,0,0,0,4,4,5,7,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","2"
"1","F",1,"T2-1-n1F",0,0,1,2,2,3,4,5,6,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"1","F",2,"T2-1-n2F",0,1,2,2,3,3,4,4,6,8,8,8,9,9,10,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"1","F",3,"T2-1-n3F",0,0,1,3,4,4,5,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"2","F",1,"T2-2-n1F",0,0,1,2,2,2,4,4,5,7,7,8,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"2","F",2,"T2-2-n2F",0,0,0,1,1,2,3,4,6,7,8,8,8,9,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"2","F",3,"T2-2-n3F",0,0,2,4,4,4,5,5,6,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"3","F",1,"T2-3-n1F",0,0,0,1,1,2,4,6,6,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"3","F",2,"T2-3-n2F",0,0,0,1,2,1,2,3,5,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"3","F",3,"T2-3-n3F",0,0,1,3,3,4,4,5,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"4","F",1,"T2-4-n1F",0,0,0,1,1,2,5,6,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"4","F",2,"T2-4-n2F",0,0,1,3,4,6,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"4","F",3,"T2-4-n3F",0,0,0,2,3,4,4,6,7,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"5","F",1,"T2-5-n1F",0,1,1,1,2,3,5,6,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"5","F",2,"T2-5-n2F",0,1,1,3,4,4,6,7,8,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"5","F",3,"T2-5-n3F",0,1,1,2,4,4,6,7,7,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"6","F",1,"T2-6-n1F",0,2,2,3,2,4,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"6","F",2,"T2-6-n2F",0,0,0,1,1,3,5,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"6","F",3,"T2-6-n3F",0,0,0,1,1,2,6,7,7,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"7","F",1,"T2-7-n1F",0,1,1,3,3,5,5,6,6,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"7","F",2,"T2-7-n2F",0,0,0,1,1,3,4,4,4,5,5,5,7,7,7,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"7","F",3,"T2-7-n3F",0,0,0,2,3,4,5,6,6,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,"MA","LB","2"
"8","F",1,"T2-8-n1F",0,1,1,2,3,4,6,7,7,7,8,8,9,9,9,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"8","F",2,"T2-8-n2F",0,0,0,2,2,2,4,4,5,6,7,8,9,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"8","F",3,"T2-8-n3F",0,1,2,3,3,3,6,6,6,7,7,8,8,8,9,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"9","F",1,"T2-9-n1F",0,0,1,3,3,4,5,5,5,5,5,7,7,8,10,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"9","F",2,"T2-9-n2F",0,0,1,3,3,4,5,6,6,7,7,8,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"9","F",3,"T2-9-n3F",0,0,2,4,4,5,6,7,7,8,8,8,8,9,9,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"10","F",1,"T2-10-n1F",0,0,2,4,5,6,7,7,7,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"10","F",2,"T2-10-n2F",0,0,0,2,3,3,5,6,6,8,8,9,9,9,9,9,10,10,10,10,10,10,10,10,"MA","AT","2"
"10","F",3,"T2-10-n3F",0,0,1,4,5,5,7,7,7,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"11","F",1,"T2-11-n1F",0,0,0,2,2,3,5,7,7,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"11","F",2,"T2-11-n2F",0,0,2,4,4,6,6,7,7,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"11","F",3,"T2-11-n3F",0,1,1,2,3,4,7,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"12","F",1,"T2-12-n1F",0,0,2,3,3,4,7,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"12","F",2,"T2-12-n2F",0,0,2,2,2,4,5,6,7,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"12","F",3,"T2-12-n3F",0,0,1,3,4,6,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"1","F",1,"T2-1-W1F",0,2,2,3,3,3,6,6,6,6,8,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"1","F",2,"T2-1-W2F",0,0,0,0,0,0,6,6,6,6,8,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"1","F",3,"T2-1-W3F",0,1,1,2,2,5,5,6,6,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"2","F",1,"T2-2-W1F",0,0,1,1,1,2,3,5,6,7,7,9,9,9,9,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"2","F",2,"T2-2-W2F",0,0,0,2,3,3,5,5,5,8,9,9,9,9,9,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"2","F",3,"T2-2-W3F",0,0,1,1,1,2,6,6,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"3","F",1,"T2-3-W1F",0,0,0,1,1,2,4,4,5,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"3","F",2,"T2-3-W2F",0,0,0,2,3,4,7,7,7,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"3","F",3,"T2-3-W3F",0,0,0,2,2,3,6,6,6,6,6,8,9,9,9,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"4","F",1,"T2-4-W1F",0,1,1,3,3,5,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"4","F",2,"T2-4-W2F",0,0,1,5,5,7,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"4","F",3,"T2-4-W3F",1,2,2,5,5,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"5","F",1,"T2-5-W1F",0,2,2,3,3,3,6,6,7,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"5","F",2,"T2-5-W2F",0,0,0,2,2,2,3,5,6,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"5","F",3,"T2-5-W3F",0,0,0,3,3,3,4,4,5,6,8,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"6","F",1,"T2-6-W1F",0,1,1,1,2,4,5,5,5,6,7,8,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"6","F",2,"T2-6-W2F",0,0,0,0,0,1,2,3,3,5,6,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"6","F",3,"T2-6-W3F",0,0,0,2,2,2,4,4,4,5,6,7,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"7","F",1,"T2-7-W1F",0,0,0,1,1,1,1,2,2,4,6,7,8,8,8,9,10,10,10,10,10,10,10,10,"MA","LB","2"
"7","F",2,"T2-7-W2F",0,0,1,5,5,5,5,5,6,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"7","F",3,"T2-7-W3F",1,1,1,1,1,3,5,5,5,6,9,9,9,9,9,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"8","F",1,"T2-8-W1F",0,0,0,0,0,2,4,4,6,7,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"8","F",2,"T2-8-W2F",0,0,0,1,2,2,4,4,4,7,8,8,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"8","F",3,"T2-8-W3F",0,0,0,3,3,4,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"9","F",1,"T2-9-W1F",0,0,0,5,5,5,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"9","F",2,"T2-9-W2F",1,1,1,3,4,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"9","F",3,"T2-9-W3F",2,2,2,6,7,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"10","F",1,"T2-10-W1F",0,0,0,2,2,2,3,5,7,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"10","F",2,"T2-10-W2F",0,0,0,1,1,2,4,4,6,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"10","F",3,"T2-10-W3F",0,0,0,1,1,5,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"11","F",1,"T2-11-W1F",0,0,0,4,4,4,6,6,6,7,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"11","F",2,"T2-11-W2F",0,0,0,4,4,4,6,6,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"11","F",3,"T2-11-W3F",0,0,1,1,1,2,5,5,6,7,7,7,8,9,9,10,10,10,10,10,10,10,10,10,"MA","LB","2"
"12","F",1,"T2-12-W1F",0,0,0,2,3,3,5,6,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"12","F",2,"T2-12-W2F",0,0,1,2,2,2,4,4,5,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"12","F",3,"T2-12-W3F",4,4,4,7,7,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","2"
"A1","F",1,"T4-A1-a1F",0,0,1,3,4,6,7,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","4"
"A1","F",2,"T4-A1-a2F",0,4,4,7,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","4"
"A1","F",3,"T4-A1-a3F",2,3,4,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","4"
"A2","F",1,"T4-A2-a1F",1,2,3,4,5,7,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","4"
"A2","F",2,"T4-A2-a2F",3,6,7,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,"C","C","4"
"A2","F",3,"T4-A2-a3F",5,6,7,7,7,7,7,7,7,7,7,7,9,9,10,10,10,10,10,10,10,10,10,10,"C","C","4"
"A3","F",1,"T4-A3-a1F",2,2,2,3,4,4,4,4,4,4,5,6,8,7,9,10,10,10,10,10,10,10,10,10,"C","C","4"
"A3","F",2,"T4-A3-a2F",3,3,3,3,3,5,6,6,7,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10,"C","C","4"
"A3","F",3,"T4-A3-a3F",1,1,2,2,3,3,4,4,5,6,6,7,9,9,9,9,9,9,9,9,9,9,9,9,"C","C","4"
"A4","F",1,"T4-A4-a1F",1,1,1,3,3,3,6,6,6,6,6,7,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","4"
"A4","F",2,"T4-A4-a2F",1,1,3,3,4,6,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","4"
"A4","F",3,"T4-A4-a3F",1,1,1,3,3,3,6,6,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","4"
"A5","F",1,"T4-A5-a1F",0,0,0,1,2,3,6,6,7,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","4"
"A5","F",2,"T4-A5-a2F",0,0,0,0,0,0,3,3,3,4,5,5,5,5,7,10,10,10,10,10,10,10,10,10,"C","C","4"
"A5","F",3,"T4-A5-a3F",0,0,0,3,3,4,6,6,7,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,"C","C","4"
"A6","F",1,"T4-A6-a1F",0,0,0,0,1,1,4,5,6,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","4"
"A6","F",2,"T4-A6-a2F",0,0,0,0,0,0,3,5,6,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","4"
"A6","F",3,"T4-A6-a3F",0,1,1,2,3,3,5,7,7,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","4"
"1","F",1,"T4-1-n1F",0,0,1,3,3,5,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"1","F",2,"T4-1-n2F",0,0,1,2,2,3,6,6,7,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"1","F",3,"T4-1-n3F",0,0,0,1,2,3,5,5,6,7,7,7,9,9,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"2","F",1,"T4-2-n1F",0,0,1,4,6,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"2","F",2,"T4-2-n2F",0,0,0,1,2,5,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"2","F",3,"T4-2-n3F",0,0,1,4,5,6,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"3","F",1,"T4-3-n1F",1,1,1,3,4,6,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"3","F",2,"T4-3-n2F",0,0,1,5,7,7,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"3","F",3,"T4-3-n3F",1,1,3,6,8,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"4","F",1,"T4-4-n1F",0,0,1,1,3,5,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"4","F",2,"T4-4-n2F",0,0,0,1,3,6,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"4","F",3,"T4-4-n3F",0,0,2,5,6,7,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"5","F",1,"T4-5-n1F",0,0,1,2,4,6,7,7,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"5","F",2,"T4-5-n2F",0,0,1,2,3,5,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"5","F",3,"T4-5-n3F",0,0,0,2,5,5,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"6","F",1,"T4-6-n1F",0,0,0,1,2,4,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"6","F",2,"T4-6-n2F",0,0,0,0,0,3,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"6","F",3,"T4-6-n3F",0,0,2,4,6,7,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"7","F",1,"T4-7-n1F",0,0,1,2,3,6,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"7","F",2,"T4-7-n2F",0,0,2,5,5,6,8,8,8,8,8,8,9,9,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"7","F",3,"T4-7-n3F",0,0,0,2,4,4,6,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"8","F",1,"T4-8-n1F",0,0,2,3,4,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"8","F",2,"T4-8-n2F",0,0,0,1,3,7,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"8","F",3,"T4-8-n3F",0,0,3,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"9","F",1,"T4-9-n1F",0,0,0,4,6,7,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"9","F",2,"T4-9-n2F",0,0,0,4,6,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"9","F",3,"T4-9-n3F",0,0,0,2,4,5,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"10","F",1,"T4-10-n1F",0,0,0,3,4,7,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"10","F",2,"T4-10-n2F",0,0,0,2,4,6,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"10","F",3,"T4-10-n3F",0,0,0,4,5,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"11","F",1,"T4-11-n1F",0,0,0,1,2,5,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"11","F",2,"T4-11-n2F",0,0,0,2,3,6,8,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"11","F",3,"T4-11-n3F",0,0,0,3,4,6,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"MA","LB","4"
"12","F",1,"T4-12-n1F",0,0,1,5,5,6,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"12","F",2,"T4-12-n2F",0,0,0,4,5,7,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"12","F",3,"T4-12-n3F",0,0,0,4,4,5,7,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"MA","AT","4"
"A1","F",1,"T5-A1-1F",0,0,0,0,0,0,1,2,4,7,8,8,9,9,9,9,9,9,9,9,9,9,9,9,"C","C","5"
"A1","F",2,"T5-A1-2F",0,0,0,0,0,0,1,2,3,6,7,9,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","5"
"A1","F",3,"T5-A1-3F",0,0,0,0,1,1,1,2,2,5,7,7,9,9,9,9,9,9,9,9,9,9,9,9,"C","C","5"
"A2","F",1,"T5-A2-1F",0,0,0,1,2,2,4,4,4,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","5"
"A2","F",2,"T5-A2-2F",0,0,0,0,2,4,4,4,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","5"
"A2","F",3,"T5-A2-3F",0,0,0,1,4,4,5,5,5,6,7,9,9,9,9,9,9,9,9,9,9,9,9,9,"C","C","5"
"A3","F",1,"T5-A3-1F",0,0,0,2,5,6,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,"C","C","5"
"A3","F",2,"T5-A3-2F",0,0,0,2,5,7,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","5"
"A3","F",3,"T5-A3-3F",0,0,0,1,3,4,8,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","5"
"A4","F",1,"T5-A4-1F",0,0,0,2,6,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","5"
"A4","F",2,"T5-A4-2F",0,0,0,3,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","5"
"A4","F",3,"T5-A4-3F",0,0,0,1,2,7,7,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","5"
"A5","F",1,"T5-A5-1F",0,0,0,1,2,2,7,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,"C","C","5"
"A5","F",2,"T5-A5-2F",0,0,0,2,5,6,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","5"
"A5","F",3,"T5-A5-3F",0,0,0,4,7,7,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","5"
"A6","F",1,"T5-A6-1F",0,0,0,2,6,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","5"
"A6","F",2,"T5-A6-2F",0,0,0,3,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","5"
"A6","F",3,"T5-A6-3F",0,0,0,5,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","5"
