"cage","sex","replicate","vial","X16","X20","X24","X40","X44","X48","X64","X68","X72","X88","X92","X96","X112","X116","X120","X136","X140","X144","X160","X164","X168","X184","X188","X192","cage.treat","cage.treat2","timepoint"
"A1","M",3,"T4-A1-a3M",1,1,2,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,"C","C","4"
"A2","M",1,"T4-A2-a1M",0,0,0,4,4,4,5,6,7,7,7,9,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","4"
"A2","M",2,"T4-A2-a2M",1,1,2,4,5,6,6,7,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,"C","C","4"
"A2","M",3,"T4-A2-a3M",0,1,3,5,5,5,5,7,7,7,7,7,8,8,9,9,9,10,10,10,10,10,10,10,"C","C","4"
"A3","M",1,"T4-A3-a1M",0,0,0,1,2,2,5,6,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","4"
"A3","M",2,"T4-A3-a2M",1,1,2,2,2,2,5,6,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","4"
"A3","M",3,"T4-A3-a3M",0,0,0,1,1,5,7,7,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,"C","C","4"
"A4","M",1,"T4-A4-a1M",2,2,3,6,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","4"
"A4","M",2,"T4-A4-a2M",1,2,2,4,5,5,7,7,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","4"
"A4","M",3,"T4-A4-a3M",0,0,0,6,6,6,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,"C","C","4"
"A5","M",1,"T4-A5-a1M",0,0,0,3,4,4,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,"C","C","4"
"A5","M",2,"T4-A5-a2M",2,3,3,4,6,6,7,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,"C","C","4"
"A5","M",3,"T4-A5-a3M",0,0,0,1,1,1,5,6,8,8,8,8,8,8,9,10,10,10,10,10,10,10,10,10,"C","C","4"
"A6","M",1,"T4-A6-a1M",0,1,1,4,5,6,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"C","C","4"
