"cluster","median.target","median.matched","pval","comparison","FDR","significant","cluster.dynamics"
"c8.X.1_5",0.00617142424242426,0.000137705681818181,1.66706870262186e-17,"2_4",3.15460692957675e-17,"yes","positive"
"c14.2R.1_5",0.000652641969696967,0.000960756818181816,0.998461415750724,"2_4",0.998461415750724,"no","neutral"
"c10.3R.1_5",0.0128745303030303,9.30037878787981e-05,3.74135374463424e-62,"2_4",1.94677494409563e-61,"yes","positive"
"c6.3L.1_5",0.00708065212121212,-0.00165274962121213,3.07536990128143e-08,"2_4",3.90364348615711e-08,"yes","positive"
"c17.2L.1_5",0.0152908863636363,0.00266955303030297,5.6906687627251e-25,"2_4",1.55544946181153e-24,"yes","positive"
"c9.X.1_5",0.00236749871212121,-0.00153273636363636,0.000881189378659991,"2_4",0.00100357679236277,"yes","positive"
"c11.3R.1_5",0.00453731174242424,0.00153503147727272,0.0347074912291212,"2_4",0.0374475563261571,"yes","positive"
"c7.3L.1_5",0.0135387022727273,0.000502240909090901,8.93283739327834e-150,"2_4",9.98853635793851e-149,"yes","positive"
"c18.2L.1_5",0.0222648636363636,0.00276009469696969,4.54628294276245e-294,"2_4",1.39798200489945e-292,"yes","positive"
"c15.2R.1_5",0.0269092196969697,0.00139125757575753,3.25706697975843e-20,"2_4",8.01238477020574e-20,"yes","positive"
"c12.3R.1_5",0.0046749053030303,0.000288621212121226,0.000894294904180218,"2_4",0.00100915846985474,"yes","positive"
"c19.2L.1_5",0.00893962045454546,0.00248335984848484,6.78589358209212e-19,"2_4",1.46432440455672e-18,"yes","positive"
"c20.2L.1_5",0.0180107045454546,0.00270409090909091,6.98361671220859e-212,"2_4",1.22712122228808e-210,"yes","positive"
"c16.2R.1_5",0.00572698484848488,0.00138903030303031,6.40492596675859e-17,"2_4",1.15853807928133e-16,"yes","positive"
"c8.3L.1_5",0.0194240606060606,0.00185818181818181,2.33675284539892e-24,"2_4",6.24827391269711e-24,"yes","positive"
"c10.X.1_5",0.00292881590909091,-0.0015554106060606,0.000622557143352331,"2_4",0.000715649800302212,"yes","positive"
"c11.X.1_5",0.00584441098484849,0.00025960681818182,8.63270431145139e-13,"2_4",1.37899042897211e-12,"yes","positive"
"c9.3L.1_5",0.00941968181818187,0.000646553030303032,1.10653621871726e-11,"2_4",1.60122299884968e-11,"yes","positive"
"c17.2R.1_5",0.0109120420454546,0.00308421325757575,3.0784830744491e-08,"2_4",3.90364348615711e-08,"yes","positive"
"c10.3L.1_5",0.00855658333333333,0.00201373484848488,3.15235364070682e-07,"2_4",3.83900492878157e-07,"yes","positive"
"c11.3L.1_5",0.0121914696969697,0.000801537878787895,6.7770031351692e-34,"2_4",2.08392846406453e-33,"yes","positive"
"c18.2R.1_5",0.0143300454545455,-0.00122474242424242,5.90982693740735e-08,"2_4",7.34251225556671e-08,"yes","positive"
"c13.3R.1_5",0.00993331128787879,0.00166096590909087,5.4620188295803e-09,"2_4",7.22396038750943e-09,"yes","positive"
"c19.2R.1_5",0.0113552481060606,3.0549242424266e-05,8.09097362222846e-12,"2_4",1.18474970896917e-11,"yes","positive"
"c21.2L.1_5",0.00766718446969697,0.0024558768939394,8.25273341348551e-23,"2_4",2.15975789331642e-22,"yes","positive"
"c20.2R.1_5",0.0121562386363636,0.00228499431818182,1.99460070499202e-21,"2_4",5.11116430654205e-21,"yes","positive"
"c14.3R.1_5",0.00439219386363637,0.000117576515151516,1.21391114927824e-45,"2_4",4.66597098003824e-45,"yes","positive"
"c12.3L.1_5",0.00854528814393939,-0.00160034443181818,5.80299479383918e-09,"2_4",7.59328042172574e-09,"yes","positive"
"c13.3L.1_5",0.00730327878787878,0.000720902272727275,5.99892515399852e-10,"2_4",8.29064937013279e-10,"yes","positive"
"c22.2L.1_5",0.0192197325757576,0.00478212121212118,2.16680304611785e-38,"2_4",7.40324374090265e-38,"yes","positive"
"c21.2R.1_5",0.00701946590909088,0.000716659848484852,1.98306454559811e-12,"2_4",3.12714024498163e-12,"yes","positive"
"c14.3L.1_5",0.00445801818181818,-0.000525803030303029,0.128546871650381,"2_4",0.13630401045687,"no","neutral"
"c23.2L.1_5",0.00799941174242426,0.00348174090909091,8.07796855894693e-19,"2_4",1.68405107245843e-18,"yes","positive"
"c15.3L.1_5",0.00175883446969697,0.00109806212121212,0.345707835934411,"2_4",0.360356473050276,"no","neutral"
"c16.3L.1_5",0.00746843522727273,-0.00066346295454546,4.11911365058777e-13,"2_4",6.75534638696394e-13,"yes","positive"
"c24.2L.1_5",0.023622053030303,0.00226026515151512,4.81056797310566e-10,"2_4",6.72386205331814e-10,"yes","positive"
"c17.3L.1_5",0.00735526590909091,0.00228745984848484,2.55686694562155e-08,"2_4",3.31046983485738e-08,"yes","positive"
"c25.2L.1_5",0.0180170939393939,0.0025297803030303,0,"2_4",0,"yes","positive"
"c18.3L.1_5",0.00507661666666666,0.000439796969696982,2.57929635383621e-09,"2_4",3.48630166507532e-09,"yes","positive"
"c22.2R.1_5",0.0153394284090909,0.000447250000000038,2.87820823717063e-14,"2_4",4.84958374208202e-14,"yes","positive"
"c23.2R.1_5",0.0110327727272727,0.00208096969696969,3.38826345528467e-18,"2_4",6.83207221311499e-18,"yes","positive"
"c15.3R.1_5",-0.000514522575757577,9.34204545454537e-05,0.707818885089378,"2_4",0.719518370793335,"no","neutral"
"c16.3R.1_5",0.00644732803030303,0.000611129166666668,9.69975290128714e-52,"2_4",3.97689868952773e-51,"yes","positive"
"c24.2R.1_5",0.0203246325757576,0.000364484090909091,7.95636377280631e-19,"2_4",1.68405107245843e-18,"yes","positive"
"c12.X.1_5",0.00254360871212121,0.000831844696969689,0.0208722583489353,"2_4",0.0229057944464235,"yes","positive"
"c26.2L.1_5",0.00783207424242423,0.00186911742424246,2.50825583834043e-17,"2_4",4.67447678963444e-17,"yes","positive"
"c13.X.1_5",0.00222102651515151,-6.13310606060596e-05,0.00103059771486153,"2_4",0.00115239562661789,"yes","positive"
"c19.3L.1_5",0.012523590530303,3.59844696969716e-05,1.12057172726446e-66,"2_4",6.26501465697857e-66,"yes","positive"
"c17.3R.1_5",0.0114465825757576,0.000535892424242412,6.89218362437149e-21,"2_4",1.7300787465259e-20,"yes","positive"
"c18.3R.1_5",0.0116299583333333,0.000970419318181794,6.50257571475344e-78,"2_4",3.99908406457337e-77,"yes","positive"
"c25.2R.1_5",0.0128177689393939,0.00157721363636364,5.67251972766635e-12,"2_4",8.40626417473447e-12,"yes","positive"
"c26.2R.1_5",0.0083874196969697,0.000945845606060608,9.81108578334678e-152,"2_4",1.20676355135165e-150,"yes","positive"
"c27.2L.1_5",0.0139887363636364,0.00180386628787878,5.13362767157807e-17,"2_4",9.42442094931496e-17,"yes","positive"
"c19.3R.1_5",0.0191014772727272,0.00118267803030299,2.04964319885097e-13,"2_4",3.4068393710631e-13,"yes","positive"
"c28.2L.1_5",0.0339127348484848,0.00265327803030304,0,"2_4",0,"yes","positive"
"c20.3L.1_5",0.00859559787878788,0.00200493939393942,2.09433868280767e-12,"2_4",3.26080579728283e-12,"yes","positive"
"c21.3L.1_5",0.00652757575757576,-0.000167238636363642,4.65431532227616e-12,"2_4",7.1560098079996e-12,"yes","positive"
"c27.2R.1_5",0.00976276249999999,0.00177050454545453,9.84751587280241e-18,"2_4",1.92261024183285e-17,"yes","positive"
"c14.X.1_5",0.0236817348484848,0.00189498071969697,3.83036568770383e-20,"2_4",9.23794077622688e-20,"yes","positive"
"c22.3L.1_5",0.010172393560606,0.0010153803030303,9.04674929740764e-139,"2_4",7.948215454151e-138,"yes","positive"
"c29.2L.1_5",0.013632234469697,0.00269183181818182,5.404230858029e-38,"2_4",1.79654160956099e-37,"yes","positive"
"c15.X.1_5",0.00442970454545455,0.000391034090909088,2.35118770892899e-27,"2_4",6.88562114757776e-27,"yes","positive"
"c20.3R.1_5",0.0150615454545454,0.000264063636363646,7.00349252692644e-139,"2_4",6.62638139086117e-138,"yes","positive"
"c30.2L.1_5",0.00246925795454545,0.00271973219696969,0.402931569050322,"2_4",0.416475487337728,"no","neutral"
"c16.X.1_5",0.0165018560606061,0.00113357954545455,4.22291586266017e-54,"2_4",1.92377278187852e-53,"yes","positive"
