"cluster","median.target","median.matched","pval","comparison","FDR","significant","cluster.dynamics"
"c14.2R.1_5",0.004857105,0.000681494333333335,3.43579746354841e-08,"2_4",5.03098914305303e-08,"yes","positive"
"c10.3R.1_5",0.01493373,-6.14366666666644e-05,3.86444145944204e-66,"2_4",2.64070166395206e-65,"yes","positive"
"c6.3L.1_5",0.00586567000000001,-0.000266791666666666,0.000940681820269412,"2_4",0.00113435160679547,"yes","positive"
"c17.2L.1_5",0.0169773833333333,0.00246626666666666,7.36446083217174e-30,"2_4",2.58808194959178e-29,"yes","positive"
"c9.X.1_5",0.000819196666666668,0.00120171333333333,0.187966079319975,"2_4",0.20104198049006,"no","neutral"
"c11.3R.1_5",0.00245075000000001,2.74383333333274e-05,0.459463747834393,"2_4",0.467058189947358,"no","neutral"
"c7.3L.1_5",0.0155535666666667,0.000524100000000027,1.78733136046792e-132,"2_4",2.19841757337554e-131,"yes","positive"
"c18.2L.1_5",0.0197805833333333,0.00295581333333333,1.96520063834768e-234,"2_4",4.83439357033529e-233,"yes","positive"
"c15.2R.1_5",0.0269784,-0.00128303333333332,4.32786485024418e-17,"2_4",9.85791438111174e-17,"yes","positive"
"c12.3R.1_5",0.00415163333333335,0.000115483333333333,9.99786524048085e-08,"2_4",1.44674991126958e-07,"yes","positive"
"c19.2L.1_5",0.00862895333333333,0.00266458833333333,5.58888625222982e-20,"2_4",1.49441958483536e-19,"yes","positive"
"c20.2L.1_5",0.0171464566666667,0.00311220000000001,5.84507573190431e-157,"2_4",1.02706330717747e-155,"yes","positive"
"c16.2R.1_5",0.00748493333333333,0.00147543666666667,6.45651828940773e-14,"2_4",1.26055833269389e-13,"yes","positive"
"c8.3L.1_5",0.0165801666666667,0.00201423333333339,1.15538716091118e-16,"2_4",2.58386583258318e-16,"yes","positive"
"c10.X.1_5",0.000452866666666663,-0.00221225,0.0291881363390254,"2_4",0.03324204416389,"no","neutral"
"c11.X.1_5",0.00654957,0.000337590000000034,3.145613551515e-10,"2_4",5.37375648383812e-10,"yes","positive"
"c9.3L.1_5",0.00949611,0.000533096666666667,0.000392620188528104,"2_4",0.000482922831889568,"yes","positive"
"c17.2R.1_5",0.0179244866666666,0.000916024999999998,4.63531864547127e-20,"2_4",1.29578225771129e-19,"yes","positive"
"c10.3L.1_5",0.0119802333333334,0.000527133333333339,1.14910078848796e-09,"2_4",1.85972890768446e-09,"yes","positive"
"c11.3L.1_5",0.0138686333333334,0.000696546666666666,7.17862690016176e-29,"2_4",2.45269752422193e-28,"yes","positive"
"c18.2R.1_5",0.0144177366666667,-0.00136454,3.46711220841435e-07,"2_4",4.95877676319727e-07,"yes","positive"
"c13.3R.1_5",0.00800916666666673,-0.00197269833333334,1.06755785792866e-06,"2_4",1.45899573916917e-06,"yes","positive"
"c19.2R.1_5",0.0117333500000001,-0.00134993333333333,9.07564725680293e-10,"2_4",1.48840615011568e-09,"yes","positive"
"c21.2L.1_5",0.0145231566666667,0.00166138833333331,1.88728004280135e-67,"2_4",1.36550261920333e-66,"yes","positive"
"c20.2R.1_5",0.0162185333333333,0.00197643333333333,3.51082125039772e-19,"2_4",8.63662027597839e-19,"yes","positive"
"c14.3R.1_5",0.00620230333333333,0.000249833333333324,2.09240964335487e-47,"2_4",9.5320883752833e-47,"yes","positive"
"c12.3L.1_5",0.0104862416666666,-0.00174066833333333,5.10883981986778e-09,"2_4",7.75786787461404e-09,"yes","positive"
"c13.3L.1_5",0.005434605,-0.000299900000000006,7.98727890311517e-07,"2_4",1.10385989335187e-06,"yes","positive"
"c22.2L.1_5",0.0230390666666667,0.00595305666666666,2.34103844356424e-49,"2_4",1.15179091423361e-48,"yes","positive"
"c21.2R.1_5",0.00475807166666664,0.00107089999999998,0.0448156979176038,"2_4",0.0505718426042685,"no","neutral"
"c14.3L.1_5",0.00438843666666667,0.000939509999999998,0.8655935598778,"2_4",0.8655935598778,"no","neutral"
"c23.2L.1_5",0.01267925,0.00383124333333333,4.69721410787722e-48,"2_4",2.22214359718807e-47,"yes","positive"
"c15.3L.1_5",-0.000386039999999976,-0.000134358333333352,0.369783243408524,"2_4",0.379027824493737,"no","neutral"
"c16.3L.1_5",0.0102296533333333,0.000437542666666626,2.49360686724514e-10,"2_4",4.31991048832609e-10,"yes","positive"
"c24.2L.1_5",0.0221113,0.00361384333333334,9.93673787680529e-09,"2_4",1.49051068152079e-08,"yes","positive"
"c17.3L.1_5",0.00532279666666666,-0.000103199999999998,0.000230954398996932,"2_4",0.000286943344208309,"yes","positive"
"c25.2L.1_5",0.0218231283333333,0.00259799416666667,0,"2_4",0,"yes","positive"
"c18.3L.1_5",0.00823426666666666,-0.000538926666666668,2.47092264575519e-10,"2_4",4.31991048832609e-10,"yes","positive"
"c22.2R.1_5",0.0130378333333333,0.00133259999999999,4.42665581496188e-06,"2_4",5.85460930365926e-06,"yes","positive"
"c23.2R.1_5",0.00693713333333335,0.00273840000000003,0.0170215486239872,"2_4",0.0195668269229012,"yes","positive"
"c15.3R.1_5",0.00106690666666667,-0.000549673333333334,0.202192825628141,"2_4",0.214394116829839,"no","neutral"
"c16.3R.1_5",0.00629224,0.000152051666666667,1.37965011460508e-49,"2_4",7.07070683735104e-49,"yes","positive"
"c24.2R.1_5",0.0271562833333334,-0.000374633333333319,1.43942564608776e-15,"2_4",3.16159561551419e-15,"yes","positive"
"c12.X.1_5",0.00404366666666667,0.00199574999999997,0.0472834273541719,"2_4",0.0528714687687559,"no","neutral"
"c26.2L.1_5",0.00919928666666666,0.0011189265,2.41194157343354e-09,"2_4",3.70836016915407e-09,"yes","positive"
"c13.X.1_5",0.000243986666666668,0.0019121666666666,0.0554042100207196,"2_4",0.0613938543472839,"no","neutral"
"c19.3L.1_5",0.01475515,-0.000181018999999997,7.23486800400746e-56,"2_4",4.44944382246459e-55,"yes","positive"
"c17.3R.1_5",0.0155279833333333,0.00127806333333334,8.86615118507481e-15,"2_4",1.84836711146475e-14,"yes","positive"
"c18.3R.1_5",0.00956036666666667,0.000183814999999997,1.94544291822893e-25,"2_4",6.29709155110943e-25,"yes","positive"
"c25.2R.1_5",-0.00371692166666665,0.000293553333333328,0.00819544320640226,"2_4",0.00950980673950451,"yes","negative"
